round_id,created_at,question_id,chairman_model,chairman_own_label,chairman_own_position,label_a_model,label_b_model,label_c_model,stage2_verdict_type,stage2_winner_labels,sole_winner_label,self_picked,self_included,stage4_verdict_type,other_drafters_conceded,other_drafters_rebutted,total_cost_usd,duration_ms
6d53975c-4a47-4b77-abf0-228c5cf943ed,2026-08-12T10:03:39.348Z,q01-monorepo,Claude Haiku 4.5,C,2,Gemini 2.5 Flash,GPT-5 Mini,Claude Haiku 4.5,merged,B+C,,false,true,synthesised,0,2,0.02956030,55345
da467043-9553-4993-9cb9-0a5c4f3c22e3,2026-08-12T10:03:39.880Z,q02-e2e-before-pmf,Claude Haiku 4.5,C,2,GPT-5 Mini,Gemini 2.5 Flash,Claude Haiku 4.5,merged,A+C,,false,true,synthesised,0,2,0.02213105,40791
e8deca6b-c5a4-44cb-972d-d90c06906038,2026-08-12T10:03:39.882Z,q02-e2e-before-pmf,Gemini 2.5 Flash,C,2,Claude Haiku 4.5,GPT-5 Mini,Gemini 2.5 Flash,picked,B,B,false,false,synthesised,0,2,0.01735370,39322
a1a9114f-ff46-40d3-ac46-22e2be2db06d,2026-08-12T10:03:39.946Z,q02-e2e-before-pmf,GPT-5 Mini,A,0,GPT-5 Mini,Gemini 2.5 Flash,Claude Haiku 4.5,picked,A,A,true,true,synthesised,0,2,0.01758325,66061
2a7c3c4a-437e-402e-b4e9-f383638849d3,2026-08-12T10:03:39.946Z,q01-monorepo,GPT-5 Mini,B,1,Gemini 2.5 Flash,GPT-5 Mini,Claude Haiku 4.5,picked,B,B,true,true,synthesised,0,2,0.01896415,81441
acd30570-c2d1-4c3e-81be-ab95021e4490,2026-08-12T10:03:39.947Z,q01-monorepo,Gemini 2.5 Flash,B,1,Claude Haiku 4.5,Gemini 2.5 Flash,GPT-5 Mini,picked,A,A,false,false,merged,0,2,0.01700105,32142
b9b41918-1989-4d29-8d9e-d99d8aaf5cb4,2026-08-12T10:04:11.564Z,q03-input-validation,Claude Haiku 4.5,A,0,Claude Haiku 4.5,Gemini 2.5 Flash,GPT-5 Mini,merged,A+C,,false,true,synthesised,0,2,0.02467840,54441
6294a65a-bb02-49bc-8770-298ae6def1e1,2026-08-12T10:04:18.740Z,q03-input-validation,GPT-5 Mini,C,2,Gemini 2.5 Flash,Claude Haiku 4.5,GPT-5 Mini,picked,C,C,true,true,synthesised,0,2,0.01668830,59771
bc7c7ac4-cd0c-4236-a569-601ef756059b,2026-08-12T10:04:20.243Z,q03-input-validation,Gemini 2.5 Flash,A,0,Gemini 2.5 Flash,GPT-5 Mini,Claude Haiku 4.5,picked,B,B,false,false,merged,1,2,0.01562160,32505
8d0631de-d9fc-4f3e-bf52-5e39257d96d8,2026-08-12T10:04:34.762Z,q04-pagination,Claude Haiku 4.5,C,2,Gemini 2.5 Flash,GPT-5 Mini,Claude Haiku 4.5,merged,B+C,,false,true,merged,1,2,0.02542255,36966
c9a26324-f9eb-4e18-9465-65e8e7e628c1,2026-08-12T10:04:45.478Z,q04-pagination,GPT-5 Mini,B,1,Claude Haiku 4.5,GPT-5 Mini,Gemini 2.5 Flash,picked,B,B,true,true,synthesised,0,2,0.02112530,76194
